"id";"route"
1;"Єгорівка - ОМЕЗ"
2;"Засілля - ОМЕЗ"
3;"Людмилівка - ОМЕЗ"
4;"Батьківщина - Засілля"
5;"Сосница - ОМЕЗ"
6;"Сологубівка - ОМЕЗ"
7;"Роздільна - ОМЕЗ"
8;"Мардаровка - ОМЕЗ"
9;"Рівне - ОМЕЗ"
10;"Засілля - Херсон"
11;"Сосница - Умань - ОМЕЗ"
12;"Стадница - ОМЕЗ "
13;"Переробник - Херсон"
14;"Подольск - ОМЕЗ-Южный"
15;"Засілля - Миколаїв"
16;"Піщана - ОМЕЗ"
17;"Веселинове - ОМЕЗ"
18;"Людмилівка - Миколаїв"
19;"Аджамка - ОМЕЗ"
20;"Монаши (Алексеевка) - ОМЕЗ"
21;"Балта - ОМЕЗ"
22;"Ганнопіль, Тульчинск.рн - ОМЕЗ"
23;"Пальчик -  ОМЕЗ"
24;"Кропивницький (Кр.ток) - Миколаїв"
25;"Новоукраїнка - Миколаїв (Нібулон)"
26;"Концеба - ОМЕЗ"
27;"Людмилівка - Миколаїв (Ніка-Тера)"
28;"Приютівка - Южний"
29;"Студена - ОМЕЗ"
30;"Олександрія - Южний"
31;"Березки - Чечельницькі"
32;"Саражинка - ОМЕЗ"
33;"Бутенки - ОМЕЗ"
34;"Хмельове - ОМЕЗ"
35;"Карпово - ОМЕЗ"
36;"Людмилівка - Іваново (Свердлово)"
37;"Єлізаветка - ОМЕЗ"
38;"Каніж - Миколаїв"
39;"Новий буг - ОМЕЗ"
40;"Старий Коврай - ЧКХП"
41;"Косенівка - ОМЕЗ"
42;"Світловодськ - Миколаїв"
43;"Кучурган - ОМЕЗ"
44;"ЧКХП - Херсон"
45;"Куцовка - Николаев"
46;"Піщана - Людмилівка-Криве озеро"
47;"Богдани - ЧКХП"
48;"Цебрикове - ОМЕЗ"
49;"Івановка, Одесская обл-ОМЕЗ"
50;"Піщана - Людмилівка"
51;"Куцовка, Кировоградская - Южное"
52;"Компаніївка - Переробник"
53;"Римарівка - Людмилівка"
54;"Червоновершка - Миколаїв"
55;"Помічна - Одеса"
56;"Людмилівка - Засілля"
57;"Ковалиха - ЧКХП"
58;"Іванівка, Арбузинський рн - ОМЕЗ"
59;"Цибульово - Переробник"
60;"Миколаївка, Братський рн- ОМЕЗ"
61;"Степове - ЧКХП"
62;"Надлак - ОМЕЗ"
63;"Красенівка - ЧКХП"
64;"Миколаївка, Софіївський рн- ОМЕЗ"
65;"Брусилів - ОМЕЗ"
66;"Залєвки - ЧКХП"
67;"Новомиргород - Дельта Вілмар"
68;"Братське - ОМЕЗ"
69;"Николаевка, Новомирг рн - Дельта Вилмар"
70;"Новомиргород - Дельта Вилмар"
72;"Солтанівка - ОМЕЗ"
73;"Стійкове(Петраківка) - ОМЕЗ"
74;"Кам`яно-Костувате - ОМЕЗ"
75;"Високопілля - ОМЕЗ"
76;"Ганнівка, Миколаївська обл. - ОМЕЗ"
77;"Криве озеро - ОМЕЗ"
78;"СГ Надія Нова(Северинка)-Людмилівка"
79;"Тясмин(Новоселиця)-Людмилівка"
80;"СТОВ Надія(Червоновершка)-Людмилівка"
81;"ОЛТО(Цвітне) - Людмилівка"
82;"СГ Надія Нова(Северинка) - Засілля"
83;"Іскра(Байбузи) - ЧКХП"
84;"Тясмин(Новоселиця) - ЧКХП"
85;"СГ Надія Нова(Северинка)-ЧКХП"
